Iteration 1: Best shielding time = 0.539 s, par_id = 1, theta = 356.019°, v = 126.826 m/s, t_deploy = 0.081 s, delay = 0.539 s
Iteration 63: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 64: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 65: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 66: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 67: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 68: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 69: Best shielding time = 3.614 s, par_id = 1, theta = 1.923°, v = 89.285 m/s, t_deploy = 0.503 s, delay = 3.152 s
Iteration 70: Best shielding time = 3.651 s, par_id = 1, theta = 1.473°, v = 96.988 m/s, t_deploy = 0.791 s, delay = 3.383 s
Iteration 71: Best shielding time = 4.328 s, par_id = 1, theta = 0.794°, v = 108.098 m/s, t_deploy = 0.401 s, delay = 3.323 s
Iteration 72: Best shielding time = 3.722 s, par_id = 1, theta = 1.226°, v = 87.017 m/s, t_deploy = 0.893 s, delay = 2.914 s
Iteration 73: Best shielding time = 3.722 s, par_id = 1, theta = 1.226°, v = 87.017 m/s, t_deploy = 0.893 s, delay = 2.914 s
Iteration 74: Best shielding time = 3.722 s, par_id = 1, theta = 1.226°, v = 87.017 m/s, t_deploy = 0.893 s, delay = 2.914 s
Iteration 75: Best shielding time = 2.901 s, par_id = 1, theta = 3.187°, v = 76.273 m/s, t_deploy = 0.369 s, delay = 2.951 s
Iteration 76: Best shielding time = 2.901 s, par_id = 1, theta = 3.187°, v = 76.273 m/s, t_deploy = 0.369 s, delay = 2.951 s
Iteration 77: Best shielding time = 4.283 s, par_id = 1, theta = 1.211°, v = 86.001 m/s, t_deploy = 0.554 s, delay = 2.906 s
Iteration 78: Best shielding time = 3.779 s, par_id = 1, theta = 1.211°, v = 83.669 m/s, t_deploy = 0.133 s, delay = 2.487 s
Iteration 79: Best shielding time = 3.779 s, par_id = 1, theta = 1.211°, v = 83.669 m/s, t_deploy = 0.133 s, delay = 2.487 s
Iteration 80: Best shielding time = 3.842 s, par_id = 1, theta = 0.853°, v = 104.767 m/s, t_deploy = 0.365 s, delay = 3.014 s
Iteration 81: Best shielding time = 0.000 s, par_id = 1, theta = 354.650°, v = 102.346 m/s, t_deploy = 0.734 s, delay = 1.040 s
Iteration 82: Best shielding time = 2.562 s, par_id = 1, theta = 19.231°, v = 78.008 m/s, t_deploy = 0.383 s, delay = 0.015 s
Iteration 83: Best shielding time = 2.562 s, par_id = 1, theta = 19.231°, v = 78.008 m/s, t_deploy = 0.383 s, delay = 0.015 s
Iteration 84: Best shielding time = 2.562 s, par_id = 1, theta = 19.231°, v = 78.008 m/s, t_deploy = 0.383 s, delay = 0.015 s
Iteration 85: Best shielding time = 2.629 s, par_id = 1, theta = 6.746°, v = 138.435 m/s, t_deploy = 0.012 s, delay = 0.071 s
Iteration 86: Best shielding time = 2.629 s, par_id = 1, theta = 6.746°, v = 138.435 m/s, t_deploy = 0.012 s, delay = 0.071 s
Iteration 87: Best shielding time = 2.629 s, par_id = 1, theta = 6.746°, v = 138.435 m/s, t_deploy = 0.012 s, delay = 0.071 s
Iteration 88: Best shielding time = 2.629 s, par_id = 1, theta = 6.746°, v = 138.435 m/s, t_deploy = 0.012 s, delay = 0.071 s
Iteration 89: Best shielding time = 2.629 s, par_id = 1, theta = 6.746°, v = 138.435 m/s, t_deploy = 0.012 s, delay = 0.071 s
Iteration 90: Best shielding time = 2.629 s, par_id = 1, theta = 6.746°, v = 138.435 m/s, t_deploy = 0.012 s, delay = 0.071 s
Iteration 91: Best shielding time = 0.000 s, par_id = 1, theta = 2.838°, v = 124.683 m/s, t_deploy = 1.242 s, delay = 0.731 s
Iteration 92: Best shielding time = 4.366 s, par_id = 1, theta = 1.968°, v = 87.930 m/s, t_deploy = 0.085 s, delay = 2.889 s
Iteration 93: Best shielding time = 4.366 s, par_id = 1, theta = 1.968°, v = 87.930 m/s, t_deploy = 0.085 s, delay = 2.889 s
Iteration 94: Best shielding time = 4.366 s, par_id = 1, theta = 1.968°, v = 87.930 m/s, t_deploy = 0.085 s, delay = 2.889 s
Iteration 95: Best shielding time = 4.366 s, par_id = 1, theta = 1.968°, v = 87.930 m/s, t_deploy = 0.085 s, delay = 2.889 s
Iteration 96: Best shielding time = 4.192 s, par_id = 1, theta = 1.187°, v = 91.048 m/s, t_deploy = 0.659 s, delay = 2.994 s
Iteration 97: Best shielding time = 4.192 s, par_id = 1, theta = 1.187°, v = 91.048 m/s, t_deploy = 0.659 s, delay = 2.994 s
Iteration 98: Best shielding time = 4.192 s, par_id = 1, theta = 1.187°, v = 91.048 m/s, t_deploy = 0.659 s, delay = 2.994 s
Iteration 99: Best shielding time = 4.192 s, par_id = 1, theta = 1.187°, v = 91.048 m/s, t_deploy = 0.659 s, delay = 2.994 s
Iteration 100: Best shielding time = 4.192 s, par_id = 1, theta = 1.187°, v = 91.048 m/s, t_deploy = 0.659 s, delay = 2.994 s
Iteration 101: Best shielding time = 0.000 s, par_id = 1, theta = 0.228°, v = 113.260 m/s, t_deploy = 0.351 s, delay = 3.660 s
Iteration 102: Best shielding time = 0.822 s, par_id = 1, theta = 3.172°, v = 97.680 m/s, t_deploy = 0.425 s, delay = 3.486 s
Iteration 103: Best shielding time = 0.912 s, par_id = 1, theta = 358.568°, v = 75.304 m/s, t_deploy = 0.723 s, delay = 2.221 s
Iteration 104: Best shielding time = 2.923 s, par_id = 1, theta = 3.136°, v = 79.722 m/s, t_deploy = 0.725 s, delay = 2.877 s
Iteration 105: Best shielding time = 3.074 s, par_id = 1, theta = 1.074°, v = 93.570 m/s, t_deploy = 0.723 s, delay = 3.486 s
Iteration 106: Best shielding time = 2.917 s, par_id = 1, theta = 2.298°, v = 79.722 m/s, t_deploy = 0.725 s, delay = 3.158 s
Iteration 107: Best shielding time = 2.917 s, par_id = 1, theta = 2.298°, v = 79.722 m/s, t_deploy = 0.725 s, delay = 3.158 s
Iteration 108: Best shielding time = 4.310 s, par_id = 1, theta = 2.107°, v = 71.768 m/s, t_deploy = 0.612 s, delay = 2.790 s
Iteration 109: Best shielding time = 4.310 s, par_id = 1, theta = 2.107°, v = 71.768 m/s, t_deploy = 0.612 s, delay = 2.790 s
Iteration 110: Best shielding time = 4.310 s, par_id = 1, theta = 2.107°, v = 71.768 m/s, t_deploy = 0.612 s, delay = 2.790 s
Iteration 111: Best shielding time = 1.149 s, par_id = 1, theta = 1.571°, v = 113.832 m/s, t_deploy = 0.053 s, delay = 0.911 s
Iteration 112: Best shielding time = 1.943 s, par_id = 1, theta = 0.954°, v = 114.086 m/s, t_deploy = 0.224 s, delay = 0.129 s
Iteration 113: Best shielding time = 1.943 s, par_id = 1, theta = 0.954°, v = 114.086 m/s, t_deploy = 0.224 s, delay = 0.129 s
Iteration 114: Best shielding time = 4.508 s, par_id = 1, theta = 1.405°, v = 101.318 m/s, t_deploy = 0.136 s, delay = 3.016 s
Iteration 115: Best shielding time = 4.508 s, par_id = 1, theta = 1.405°, v = 101.318 m/s, t_deploy = 0.136 s, delay = 3.016 s
Iteration 116: Best shielding time = 4.508 s, par_id = 1, theta = 1.405°, v = 101.318 m/s, t_deploy = 0.136 s, delay = 3.016 s
Iteration 117: Best shielding time = 4.510 s, par_id = 1, theta = 1.633°, v = 93.450 m/s, t_deploy = 0.112 s, delay = 2.742 s
Iteration 118: Best shielding time = 4.510 s, par_id = 1, theta = 1.633°, v = 93.450 m/s, t_deploy = 0.112 s, delay = 2.742 s
Iteration 119: Best shielding time = 4.510 s, par_id = 1, theta = 1.633°, v = 93.450 m/s, t_deploy = 0.112 s, delay = 2.742 s
Iteration 120: Best shielding time = 2.593 s, par_id = 1, theta = 0.246°, v = 97.935 m/s, t_deploy = 0.187 s, delay = 2.499 s
Iteration 121: Best shielding time = 0.314 s, par_id = 1, theta = 350.668°, v = 72.627 m/s, t_deploy = 0.454 s, delay = 0.204 s
Iteration 122: Best shielding time = 1.346 s, par_id = 1, theta = 359.393°, v = 73.831 m/s, t_deploy = 2.471 s, delay = 3.608 s
Iteration 123: Best shielding time = 1.233 s, par_id = 1, theta = 359.231°, v = 72.313 m/s, t_deploy = 2.434 s, delay = 3.454 s
Iteration 124: Best shielding time = 1.233 s, par_id = 1, theta = 359.231°, v = 72.313 m/s, t_deploy = 2.434 s, delay = 3.454 s
Iteration 125: Best shielding time = 2.008 s, par_id = 1, theta = 359.559°, v = 71.826 m/s, t_deploy = 0.837 s, delay = 2.465 s
Iteration 126: Best shielding time = 2.008 s, par_id = 1, theta = 359.559°, v = 71.826 m/s, t_deploy = 0.837 s, delay = 2.465 s
Iteration 127: Best shielding time = 2.008 s, par_id = 1, theta = 359.559°, v = 71.826 m/s, t_deploy = 0.837 s, delay = 2.465 s
Iteration 128: Best shielding time = 2.667 s, par_id = 1, theta = 0.133°, v = 75.992 m/s, t_deploy = 0.964 s, delay = 2.720 s
Iteration 129: Best shielding time = 2.530 s, par_id = 1, theta = 0.392°, v = 79.323 m/s, t_deploy = 0.623 s, delay = 2.427 s
Iteration 130: Best shielding time = 2.530 s, par_id = 1, theta = 0.392°, v = 79.323 m/s, t_deploy = 0.623 s, delay = 2.427 s
Iteration 131: Best shielding time = 0.000 s, par_id = 1, theta = 2.097°, v = 85.777 m/s, t_deploy = 1.307 s, delay = 2.456 s
Iteration 132: Best shielding time = 2.987 s, par_id = 1, theta = 1.093°, v = 94.725 m/s, t_deploy = 0.019 s, delay = 2.240 s
Iteration 133: Best shielding time = 2.987 s, par_id = 1, theta = 1.093°, v = 94.725 m/s, t_deploy = 0.019 s, delay = 2.240 s
Iteration 134: Best shielding time = 2.987 s, par_id = 1, theta = 1.093°, v = 94.725 m/s, t_deploy = 0.019 s, delay = 2.240 s
Iteration 135: Best shielding time = 2.987 s, par_id = 1, theta = 1.093°, v = 94.725 m/s, t_deploy = 0.019 s, delay = 2.240 s
Iteration 136: Best shielding time = 4.070 s, par_id = 1, theta = 1.093°, v = 97.167 m/s, t_deploy = 0.019 s, delay = 2.731 s
Iteration 137: Best shielding time = 3.171 s, par_id = 1, theta = 0.896°, v = 115.516 m/s, t_deploy = 1.288 s, delay = 4.024 s
Iteration 138: Best shielding time = 3.171 s, par_id = 1, theta = 0.896°, v = 115.516 m/s, t_deploy = 1.288 s, delay = 4.024 s
Iteration 139: Best shielding time = 2.180 s, par_id = 1, theta = 359.873°, v = 117.482 m/s, t_deploy = 0.351 s, delay = 2.994 s
Iteration 140: Best shielding time = 2.180 s, par_id = 1, theta = 359.873°, v = 117.482 m/s, t_deploy = 0.351 s, delay = 2.994 s
Iteration 141: Best shielding time = 3.259 s, par_id = 1, theta = 0.344°, v = 72.448 m/s, t_deploy = 0.409 s, delay = 2.585 s
Iteration 142: Best shielding time = 3.259 s, par_id = 1, theta = 0.344°, v = 72.448 m/s, t_deploy = 0.409 s, delay = 2.585 s
Iteration 143: Best shielding time = 3.259 s, par_id = 1, theta = 0.344°, v = 72.448 m/s, t_deploy = 0.409 s, delay = 2.585 s
Iteration 144: Best shielding time = 3.259 s, par_id = 1, theta = 0.344°, v = 72.448 m/s, t_deploy = 0.409 s, delay = 2.585 s
Iteration 145: Best shielding time = 2.715 s, par_id = 1, theta = 0.189°, v = 78.384 m/s, t_deploy = 1.204 s, delay = 2.894 s
Iteration 146: Best shielding time = 2.715 s, par_id = 1, theta = 0.189°, v = 78.384 m/s, t_deploy = 1.204 s, delay = 2.894 s
Iteration 147: Best shielding time = 2.715 s, par_id = 1, theta = 0.189°, v = 78.384 m/s, t_deploy = 1.204 s, delay = 2.894 s
Iteration 148: Best shielding time = 2.715 s, par_id = 1, theta = 0.189°, v = 78.384 m/s, t_deploy = 1.204 s, delay = 2.894 s
Iteration 149: Best shielding time = 2.715 s, par_id = 1, theta = 0.189°, v = 78.384 m/s, t_deploy = 1.204 s, delay = 2.894 s
Iteration 150: Best shielding time = 3.656 s, par_id = 1, theta = 0.826°, v = 76.700 m/s, t_deploy = 1.194 s, delay = 2.971 s
Iteration 151: Best shielding time = 0.000 s, par_id = 1, theta = 358.297°, v = 89.599 m/s, t_deploy = 1.396 s, delay = 2.744 s
Iteration 152: Best shielding time = 0.000 s, par_id = 1, theta = 358.297°, v = 89.599 m/s, t_deploy = 1.396 s, delay = 2.744 s
Iteration 153: Best shielding time = 3.894 s, par_id = 1, theta = 0.949°, v = 74.424 m/s, t_deploy = 0.851 s, delay = 2.839 s
Iteration 154: Best shielding time = 3.894 s, par_id = 1, theta = 0.949°, v = 74.424 m/s, t_deploy = 0.851 s, delay = 2.839 s
Iteration 155: Best shielding time = 3.503 s, par_id = 1, theta = 2.223°, v = 72.701 m/s, t_deploy = 0.911 s, delay = 2.986 s
Iteration 156: Best shielding time = 3.503 s, par_id = 1, theta = 2.223°, v = 72.701 m/s, t_deploy = 0.911 s, delay = 2.986 s
Iteration 157: Best shielding time = 3.503 s, par_id = 1, theta = 2.223°, v = 72.701 m/s, t_deploy = 0.911 s, delay = 2.986 s
Iteration 158: Best shielding time = 2.528 s, par_id = 1, theta = 3.474°, v = 81.671 m/s, t_deploy = 0.111 s, delay = 3.007 s
Iteration 159: Best shielding time = 2.528 s, par_id = 1, theta = 3.474°, v = 81.671 m/s, t_deploy = 0.111 s, delay = 3.007 s
Iteration 160: Best shielding time = 2.528 s, par_id = 1, theta = 3.474°, v = 81.671 m/s, t_deploy = 0.111 s, delay = 3.007 s
Iteration 161: Best shielding time = 0.000 s, par_id = 1, theta = 0.638°, v = 111.600 m/s, t_deploy = 3.836 s, delay = 3.801 s
Iteration 162: Best shielding time = 0.000 s, par_id = 1, theta = 8.169°, v = 124.224 m/s, t_deploy = 0.203 s, delay = 0.391 s
Iteration 163: Best shielding time = 0.000 s, par_id = 1, theta = 12.138°, v = 132.464 m/s, t_deploy = 0.229 s, delay = 0.201 s
Iteration 164: Best shielding time = 0.000 s, par_id = 1, theta = 12.138°, v = 131.231 m/s, t_deploy = 0.229 s, delay = 0.201 s
Iteration 165: Best shielding time = 2.008 s, par_id = 1, theta = 1.257°, v = 103.383 m/s, t_deploy = 0.229 s, delay = 2.210 s
Iteration 166: Best shielding time = 1.487 s, par_id = 1, theta = 0.064°, v = 105.753 m/s, t_deploy = 0.180 s, delay = 2.140 s
Iteration 167: Best shielding time = 1.487 s, par_id = 1, theta = 0.064°, v = 105.753 m/s, t_deploy = 0.180 s, delay = 2.140 s
Iteration 168: Best shielding time = 3.113 s, par_id = 1, theta = 1.242°, v = 96.516 m/s, t_deploy = 0.229 s, delay = 2.462 s
Iteration 169: Best shielding time = 2.348 s, par_id = 1, theta = 0.706°, v = 78.150 m/s, t_deploy = 0.188 s, delay = 1.888 s
Iteration 170: Best shielding time = 4.015 s, par_id = 1, theta = 1.709°, v = 86.184 m/s, t_deploy = 0.132 s, delay = 2.484 s
Iteration 171: Best shielding time = 1.002 s, par_id = 1, theta = 357.990°, v = 82.376 m/s, t_deploy = 0.116 s, delay = 1.989 s
Iteration 172: Best shielding time = 1.002 s, par_id = 1, theta = 357.990°, v = 82.376 m/s, t_deploy = 0.116 s, delay = 1.989 s
Iteration 173: Best shielding time = 3.567 s, par_id = 1, theta = 2.739°, v = 75.512 m/s, t_deploy = 0.564 s, delay = 2.873 s
Iteration 174: Best shielding time = 3.567 s, par_id = 1, theta = 2.739°, v = 75.512 m/s, t_deploy = 0.564 s, delay = 2.873 s
Iteration 175: Best shielding time = 3.567 s, par_id = 1, theta = 2.739°, v = 75.512 m/s, t_deploy = 0.564 s, delay = 2.873 s
Iteration 176: Best shielding time = 3.793 s, par_id = 1, theta = 2.538°, v = 71.642 m/s, t_deploy = 0.595 s, delay = 2.835 s
Iteration 177: Best shielding time = 2.805 s, par_id = 1, theta = 3.319°, v = 79.708 m/s, t_deploy = 0.194 s, delay = 2.965 s
Iteration 178: Best shielding time = 2.805 s, par_id = 1, theta = 3.319°, v = 79.708 m/s, t_deploy = 0.194 s, delay = 2.965 s
Iteration 179: Best shielding time = 2.805 s, par_id = 1, theta = 3.319°, v = 79.708 m/s, t_deploy = 0.194 s, delay = 2.965 s
Iteration 180: Best shielding time = 2.805 s, par_id = 1, theta = 3.319°, v = 79.708 m/s, t_deploy = 0.194 s, delay = 2.965 s
Iteration 181: Best shielding time = 0.000 s, par_id = 1, theta = 0.946°, v = 82.372 m/s, t_deploy = 3.757 s, delay = 3.163 s
Iteration 182: Best shielding time = 0.000 s, par_id = 1, theta = 0.040°, v = 75.151 m/s, t_deploy = 1.920 s, delay = 2.407 s
Iteration 183: Best shielding time = 0.000 s, par_id = 1, theta = 0.040°, v = 75.151 m/s, t_deploy = 1.920 s, delay = 2.407 s
Iteration 184: Best shielding time = 0.000 s, par_id = 1, theta = 0.040°, v = 75.151 m/s, t_deploy = 1.920 s, delay = 2.407 s
Iteration 185: Best shielding time = 0.000 s, par_id = 1, theta = 0.040°, v = 75.151 m/s, t_deploy = 2.025 s, delay = 2.547 s
Iteration 186: Best shielding time = 1.681 s, par_id = 1, theta = 1.861°, v = 78.025 m/s, t_deploy = 1.172 s, delay = 3.495 s
Iteration 187: Best shielding time = 1.980 s, par_id = 1, theta = 0.040°, v = 118.985 m/s, t_deploy = 0.920 s, delay = 3.323 s
Iteration 188: Best shielding time = 2.099 s, par_id = 1, theta = 1.311°, v = 121.729 m/s, t_deploy = 1.132 s, delay = 4.138 s
Iteration 189: Best shielding time = 3.508 s, par_id = 1, theta = 1.172°, v = 130.123 m/s, t_deploy = 0.452 s, delay = 3.849 s
Iteration 190: Best shielding time = 3.508 s, par_id = 1, theta = 1.172°, v = 130.123 m/s, t_deploy = 0.452 s, delay = 3.849 s
Iteration 191: Best shielding time = 0.000 s, par_id = 1, theta = 1.688°, v = 95.902 m/s, t_deploy = 0.781 s, delay = 0.608 s
Iteration 192: Best shielding time = 2.136 s, par_id = 1, theta = 3.181°, v = 108.737 m/s, t_deploy = 0.056 s, delay = 0.368 s
Iteration 193: Best shielding time = 2.136 s, par_id = 1, theta = 3.181°, v = 108.737 m/s, t_deploy = 0.056 s, delay = 0.368 s
Iteration 194: Best shielding time = 2.647 s, par_id = 1, theta = 8.020°, v = 88.715 m/s, t_deploy = 0.146 s, delay = 0.039 s
Iteration 195: Best shielding time = 2.399 s, par_id = 1, theta = 2.592°, v = 94.228 m/s, t_deploy = 0.146 s, delay = 0.039 s
Iteration 196: Best shielding time = 2.399 s, par_id = 1, theta = 2.592°, v = 94.228 m/s, t_deploy = 0.146 s, delay = 0.039 s
